amplitude beyond1std color_bv_extinction color_diff_bj color_diff_hk color_diff_jh color_diff_rj color_diff_vj eclpoly_15_ratio_diff eclpoly_20_ratio_diff eclpoly_30_ratio_diff eclpoly_5_ratio_diff eclpoly_8_ratio_diff eclpoly_best_orb_chi2 eclpoly_best_orb_period eclpoly_is_suspect eclpoly_orb_signif eclpoly_p_pulse eclpoly_p_pulse_initial flux_percentile_ratio_mid20 flux_percentile_ratio_mid35 flux_percentile_ratio_mid50 flux_percentile_ratio_mid65 flux_percentile_ratio_mid80 fold2P_slope_10percentile fold2P_slope_90percentile freq1_harmonics_amplitude_0 freq1_harmonics_amplitude_1 freq1_harmonics_amplitude_2 freq1_harmonics_amplitude_3 freq1_harmonics_freq_0 freq1_harmonics_rel_phase_0 freq1_harmonics_rel_phase_1 freq1_harmonics_rel_phase_2 freq1_harmonics_rel_phase_3 freq2_harmonics_amplitude_0 freq2_harmonics_amplitude_1 freq2_harmonics_amplitude_2 freq2_harmonics_amplitude_3 freq2_harmonics_freq_0 freq2_harmonics_rel_phase_0 freq2_harmonics_rel_phase_1 freq2_harmonics_rel_phase_2 freq2_harmonics_rel_phase_3 freq3_harmonics_amplitude_0 freq3_harmonics_amplitude_1 freq3_harmonics_amplitude_2 freq3_harmonics_amplitude_3 freq3_harmonics_freq_0 freq3_harmonics_rel_phase_0 freq3_harmonics_rel_phase_1 freq3_harmonics_rel_phase_2 freq3_harmonics_rel_phase_3 freq_amplitude_ratio_21 freq_amplitude_ratio_31 freq_frequency_ratio_21 freq_frequency_ratio_31 freq_model_max_delta_mags freq_model_min_delta_mags freq_model_phi1_phi2 freq_n_alias freq_signif freq_signif_ratio_21 freq_signif_ratio_31 freq_varrat freq_y_offset linear_trend max_slope median_absolute_deviation median_buffer_range_percentage medperc90_2p_p p2p_scatter_2praw p2p_scatter_over_mad p2p_scatter_pfold_over_mad p2p_ssqr_diff_over_var percent_amplitude percent_difference_flux_percentile qso_log_chi2_qsonu qso_log_chi2nuNULL_chi2nu scatter_res_raw skew small_kurtosis std stetson_j stetson_k freq_rrd
0.6455 0 0.012 0.765 -0.036 0.293 0.935 0.525 0 0 0 -3.20512820513 1.92307692308 1.985518 0.11377273678 1 3.80968267807 0.567758465632 0.567758716695 0.211849903441 0.383921452469 0.494835521356 0.64432383551 0.849701575767 -3.76559076655 3.15404522602 0.295287312415 0.15127437221 0.0619306532822 0.0151332131282 1.76131162584 0 2.40237237657 -1.09377965471 1.37643809678 0.0782749310197 0.0214454796223 0.00132473223293 0.000680594621514 3.4531769399 0 0.291867593619 -1.57822970205 2.21077494734 0.066948362085 0.0312134727633 0.0062571869364 0.0011590082606 0.371112171457 0 2.13452121312 -1.02792223579 1.54345132194 0.265080576539 0.22672278581 1.96057125226 0.210702164235 0.000387151092417 0.00116498329431 0.228815806977 0 8.32801955077 0.46340835754 0.452374389022 0.000160402587939 0.156900218845 -5.42780038869e-07 33 0.254 0.25 1.14170249432 0.405024176494 1.00787401575 0.527559055118 1.58899693886 0.651961798229 0.918026020228 3.31165153511 0.193593224615 0.378322281884 0.23832133379 -0.765518262871 0.314873610932 2.30552943432 1.07038923625 0
0.9905 0.00257731958763 0.037 0.791 0.023 0.293 0.391 0.521 0 0 0 0 -1.28865979381 4.096941 0.361161285201 0 4.29408483168 0.586298634213 0.586297517152 0.149790814249 0.289787174537 0.4208090581 0.630518397332 0.83447353351 -9.24381087818 4.85220118509 0.41971929392 0.213112653627 0.129444841605 0.0595747383794 1.70561868462 0 2.38242785515 -1.11775241318 1.40226077689 0.0450134995355 0.00533167554355 0.000767141083882 0.000453107477208 5.77363411574 0 1.20507583257 0.806468585798 2.14684304835 0.0435077929703 0.0120614354426 0.000673038994522 0.000498936778478 1.84103422538 0 -0.180915632582 -2.8874772548 1.80799209349 0.107246676976 0.103659263704 3.385067347 1.07939379533 0.0123133109602 0.0900425561732 0.302076951153 0 15.0240285872 0.267340216782 0.273034868911 0.000133685487339 0.0806765776711 1.3807948049e-05 90 0.295 0.337628865979 1.02229064768 0.173776062773 1.37966101695 0.505084745763 1.96790787129 1.23151597387 1.30415279265 4.01994279074 0.0518517942747 0.311926970961 -0.129895085677 -0.639422419766 0.394817079239 2.87807434117 1.02658013278 0
0.8865 0 0.046 0.456 0.054 0.283 0.526 0.216 0 0 0 0 -0.711743772242 2.387202 0.288872163503 0 4.46160021228 0.557797200472 0.557796848906 0.16296225224 0.349820363169 0.493944869768 0.665816391403 0.863749932452 -8.75099710842 5.34828029337 0.410724050777 0.208292864243 0.127292323647 0.0961916863143 1.79276743827 0 2.42020204718 -1.43856988045 1.5043291079 0.0479772035352 0.00398245022674 0.00100732197812 0.000373818327394 6.9234769695 0 2.17457749705 -0.0154418068855 1.38086745196 0.0447060780428 0.00286549750049 0.00114431746787 0.000306141081393 1.39533706588 0 0.170021965235 -2.20195429411 2.44334392468 0.116811283499 0.108846993397 3.86189352936 0.778314596805 0.00801414641022 0.0378110880821 0.21841066054 0 12.8904796559 0.338374845755 0.316007378804 0.000101692411999 0.116403440132 -3.13220974707e-06 163 0.322 0.277580071174 1.10012139739 0.136245999849 1.15527950311 0.453416149068 1.98301410274 1.27614539314 1.23864833848 4.09863658598 0.0278783496177 0.259393472065 -0.206010693745 -0.940237777556 0.393032694895 2.9445869105 1.04376843466 0
0.9585 0.00171821305842 0.072 1.097 0.042 0.265 0.977 1.167 0 0 0 -2.0618556701 -0.687285223368 3.683799 0.205806913333 0 4.41978017332 0.441939227144 0.441940310719 0.151012259345 0.255448917231 0.409476558882 0.56721628764 0.79784760713 -14.9552372601 7.70885257209 0.465389866286 0.218874581792 0.157878068593 0.112340583721 2.26274905874 0 2.15960034187 -1.56824940016 1.04620104634 0.0299376990061 0.000770043825547 0.000791022696683 0.000228538301045 9.71785070537 0 1.87062574063 1.62466913669 -3.1314555288 0.0296054093782 0.00516674356131 0.00066522809585 0.00016786160042 8.23627158174 0 -2.84904634884 -0.0202981859901 2.20641544481 0.0643282142025 0.0636142114878 4.29470986535 3.63994034157 1.08159716807 0.037551495233 0.038384124592 0 19.1988407601 0.234797010228 0.226798699684 8.38021737225e-05 0.0363121200168 -1.60294183145e-05 272 0.2705 0.340206185567 1.13074806279 0.080696707887 1.38632162662 0.37707948244 2.00373456337 1.81708531677 1.71004264279 4.23863181701 0.0200657779961 0.247406046694 -0.578663893215 -0.686465470328 0.43110211624 3.13939725722 0.947776726467 0
0.887 0.00447427293065 0.078 1.752 0.092 0.5 1.022 0.672 0 0 0 -1.34228187919 0.223713646532 4.938566 0.500861414039 1 4.40270015705 0.40081728092 0.400816568602 0.190540955999 0.327879001328 0.476430092958 0.66853178113 0.85960324818 -12.1095078936 6.7869325862 0.370207679356 0.221776798968 0.131830728602 0.0920595473248 2.49490689352 0 2.4891213624 -0.904863692331 1.85269581037 0.047219598476 0.00443173116967 0.00140213763455 0.000273865605924 3.99313186984 0 0.00643401511256 -1.26218868752 -1.89812007197 0.041214057119 0.0133378093059 0.0018613711103 0.000878787584026 8.7700289448 0 -0.917123711708 -0.595382253518 1.51715992176 0.127548943766 0.111326856295 1.60051338197 3.51517283775 0.0035867771016 0.0824029531058 0.292473654332 0 16.0223111359 0.268650020446 0.260164399808 0.000138699147957 0.147125159912 -4.96737583837e-06 423 0.304 0.313199105145 1.10787343775 0.20727266769 1.03618421053 0.485197368421 1.7249928483 1.0758692705 1.1596834037 3.95377729435 0.0839312299901 0.306189349335 0.0591074176504 -0.850516645386 0.385871915477 2.86437136181 1.05201929969 0
0.7695 0 0.056 1.346 0.02 0.21 0.736 1.096 0 0 0 0.798722044728 0.638977635783 6.640916 0.552620508251 0 4.59201312377 0.657171899232 0.657171238623 0.206780156483 0.371918075393 0.523367916616 0.670166393692 0.840906115833 -5.93998290358 3.06900622808 0.302545540116 0.149895086148 0.0820553404486 0.0319030147717 1.52167337056 0 2.43839450839 -1.0615976958 1.83526851629 0.0331940762517 0.021489383406 0.000705162768708 0.000453831386838 3.61912313582 0 2.04369694148 0.199546601725 -1.97289116866 0.0348049506559 0.00752243351052 0.00110991615685 4.50845984623e-05 8.95285639891 0 -0.672630575483 0.56376296404 2.53191796991 0.109715966195 0.11504036927 2.37838369642 5.88355988355 0.0350376474426 0.0289894778403 0.307301401569 0 18.493313358 0.234226205982 0.234627805369 0.00011994185826 0.062065702941 2.77671711191e-05 196 0.248 0.301916932907 1.0792555162 0.336091757222 0.951612903226 0.520161290323 1.54043112109 1.07395820445 0.898726278057 3.5674356845 0.0801670424859 0.355128231298 -0.0232661544892 -0.864667946233 0.302803438173 2.14635657938 1.06445446368 0
0.459 0 0.052 1.038 0.06 0.28 1.087 1.071 0 0 0 0 0 0.455665 0.137700106525 1 3.69529711066 0.442401811467 0.44240229991 0.235017362859 0.412135060058 0.531678232063 0.711995261786 0.862416313561 -7.92999447478 3.75724623447 0.280888151709 0.130858479017 0.0738789831073 0.0277247616303 2.26038612892 0 2.63145372262 -0.67930909318 1.95513781219 0.0131819990381 0.00175464819251 0.000511606487504 0.000151763282698 6.25948383268 0 2.51525315619 1.71300561385 0.0681705445424 0.0120546728841 0.00104233031915 0.000201588584597 4.49496974304e-05 2.59155246731 0 -1.83515461824 0.394717235929 1.67735885109 0.046929708348 0.0429162740071 2.76920998257 1.14650874652 0.0211062244972 0.012320647959 0.331967598652 0 14.4063495718 0.257915017222 0.258382759612 1.38601572459e-05 0.0255492509837 2.06376301556e-06 97 0.203 0.191823899371 1.01743471494 0.0314335079133 1.5763546798 0.177339901478 2.30557130949 0.585623230834 0.733029751009 3.7330457974 -0.0455324077868 0.115431880212 -0.193894204469 -1.21607071925 0.244845340216 1.66946560373 1.0855074245 0
0.827 0 0.037 0.985 0.097 0.195 0.985 0.315 0 0 0 -0.641025641026 0.641025641026 2.207514 0.297237289147 0 4.84162316009 0.472265890096 0.472262203821 0.157124025832 0.303973983389 0.475254304682 0.643394151546 0.847680966083 -11.8470180622 7.35519514028 0.423833338634 0.222542411416 0.127905566627 0.0880521144833 2.11746782936 0 2.25825586999 -1.61658420501 1.14893039825 0.047642930232 0.00394810835161 0.00186133706321 0.00103078485533 1.7892283246 0 1.39961374999 0.0115717445292 -2.29290338214 0.0414112799448 0.00687995767085 0.00231652181906 0.000524457701328 3.36432754236 0 -1.10025100928 -0.195759772298 -1.31789780456 0.112409586243 0.0977065185063 0.844984891763 1.58884470201 0.0199846303463 0.0202027199825 0.330033630441 0 13.8466011885 0.340673468459 0.314911602358 8.62939322567e-05 0.0698800445871 2.12326049434e-05 48 0.3025 0.285256410256 1.27015075184 0.106067170559 1.43801652893 0.36694214876 2.092605611 1.4934461881 1.48040298563 4.24594122768 0.0235409628982 0.227990992161 -0.440624810396 -1.00884690822 0.416853721671 3.12174229547 0.989854916167 0
0.829 0 0.069 -0.247 0.032 0.294 0.853 0.253 0 0 0 0 0.251256281407 2.187628 0.320488759564 0 4.45126506639 0.558392793327 0.558392149829 0.119585737126 0.221423583024 0.41624276139 0.594572707346 0.840617529966 -14.1485306935 5.36792417894 0.44252514499 0.242133626672 0.141420586993 0.0752523875313 1.790856172 0 2.61237935576 -1.08250912384 1.9002053069 0.033551469564 0.00240019977347 0.000743834482895 3.60014598075e-05 4.23774363764 0 1.87400194225 2.0974181306 -0.896006016531 0.0276907949338 0.0014484081079 0.000231986387669 8.82904119058e-05 1.33411478058 0 -0.807113065088 1.43624879382 0.589423973897 0.0758182217302 0.0625745118607 2.36632271418 0.744959199649 0.0223972046766 0.0235592919417 0.33181854412 0 15.862179838 0.276343195836 0.253240055686 6.65508814751e-05 0.0344547298579 1.74011699307e-05 44 0.275 0.341708542714 1.11301785872 0.0739082747716 1.58909090909 0.352727272727 2.19416084526 1.39993787681 1.44613688108 4.26047780699 -0.0494945044114 0.215998280705 -0.431281156455 -0.743117719192 0.398537518317 2.8129935867 0.983300585782 1
0.566 0 0.425883333333 2.64947 0.144016666667 0.505435 1.81889666667 2.061035 0 0 0 -1.12994350282 -0.282485875706 2.182918 0.540093796611 0 5.77673012169 0.547392317837 0.547383714494 0.14853070387 0.308946091518 0.417835122856 0.563508002828 0.756722191585 -4.77382180235 2.44192575736 0.258293245303 0.107969555462 0.0779920054569 0.0361499758938 1.82687208423 0 2.35766248005 -1.11836143819 1.48055572669 0.049719761038 0.00827604074597 0.0035508114922 0.00124665956098 1.85152901857 0 -2.41773532965 2.22885496592 2.18767222401 0.0299224876449 0.00571187833134 0.000917042709514 0.000253129318777 1.63041638581 0 0.839491621368 0.421040661874 0.616574733934 0.192493462149 0.115846961502 1.01349680394 0.89246335301 0.00503495111962 0.00902782769622 0.309735035127 0 13.9181994855 0.414722277793 0.287348230261 7.61578908477e-05 -0.00435812259651 1.35897406299e-06 185 0.1615 0.358757062147 1.04766175498 0.248426356911 1.31888544892 0.631578947368 1.92343659485 0.994343674257 0.813018166009 3.38145697575 -0.016997578965 0.382592873274 -0.621173317871 -0.395504022671 0.240313965164 1.34440019169 0.98243445502 0
